SampleID	BarcodeID_F	BarcodeID_R	SampleName	Replicate
A00193	Fw_2	Rv_1	S1_D0	S1_D0_Rep1
A00194	Fw_2	Rv_2	S2_D0	S2_D0_Rep1
A00195	Fw_2	Rv_3	S3_D0	S3_D0_Rep1
A00196	Fw_2	Rv_4	S4_D0	S4_D0_Rep1
A00197	Fw_2	Rv_5	S5_D0	S5_D0_Rep1
A00198	Fw_2	Rv_6	S6_D0	S6_D0_Rep1
A00199	Fw_2	Rv_7	S7_D0	S7_D0_Rep1
A00200	Fw_2	Rv_8	S8_D0	S8_D0_Rep1
A00201	Fw_3	Rv_1	S9_D0	S9_D0_Rep1
A00202	Fw_3	Rv_2	S10_D0	S10_D0_Rep1
A00203	Fw_3	Rv_3	S11_D0	S11_D0_Rep1
A00204	Fw_3	Rv_4	S12_D0	S12_D0_Rep1
A00205	Fw_3	Rv_5	S13_D0	S13_D0_Rep1
A00206	Fw_3	Rv_6	S14_D0	S14_D0_Rep1
A00207	Fw_3	Rv_7	S15_D0	S15_D0_Rep1
A00208	Fw_3	Rv_8	S16_D0	S16_D0_Rep1
A00209	Fw_4	Rv_1	S17_D0	S17_D0_Rep1
A00210	Fw_4	Rv_2	S18_D0	S18_D0_Rep1
A00211	Fw_4	Rv_3	S19_D0	S19_D0_Rep1
A00212	Fw_4	Rv_4	S20_D0	S20_D0_Rep1
A00213	Fw_5	Rv_1	POS_3D7-HB3_10-1	POS_3D7-HB3_10-1_Rep1
A00214	Fw_5	Rv_2	POS_3D7-HB3_100-1	POS_3D7-HB3_100-1_Rep1
A00215	Fw_5	Rv_3	POS_3D7:HB3_500-1	POS_3D7:HB3_500-1_Rep1
A00216	Fw_5	Rv_4	POS_3D7-K1-HB3-FCB1_1-10-1-1	POS_3D7-K1-HB3-FCB1_1-10-1-1_Rep1
A00217	Fw_5	Rv_5	POS_3D7-K1-HB3-FCB1_50-1-1-1	POS_3D7-K1-HB3-FCB1_50-1-1-1_Rep1
A00218	Fw_5	Rv_6	POS_3D7-K1-HB3-FCB1_1-1-10-10	POS_3D7-K1-HB3-FCB1_1-1-10-10_Rep1
A00219	Fw_5	Rv_7	POS_3D7-K1-HB3-FCB1_1-5-5-5	POS_3D7-K1-HB3-FCB1_1-5-5-5_Rep1
A00220	Fw_6	Rv_1	S1_DX	S1_DX_Rep1
A00221	Fw_6	Rv_2	S2_DX	S2_DX_Rep1
A00222	Fw_6	Rv_3	S3_DX	S3_DX_Rep1
A00223	Fw_6	Rv_4	S4_DX	S4_DX_Rep1
A00224	Fw_6	Rv_5	S5_DX	S5_DX_Rep1
A00225	Fw_6	Rv_6	S6_DX	S6_DX_Rep1
A00226	Fw_6	Rv_7	S7_DX	S7_DX_Rep1
A00227	Fw_6	Rv_8	S8_DX	S8_DX_Rep1
A00228	Fw_7	Rv_1	S9_DX	S9_DX_Rep1
A00229	Fw_7	Rv_2	S10_DX	S10_DX_Rep1
A00230	Fw_7	Rv_3	S11_DX	S11_DX_Rep1
A00231	Fw_7	Rv_4	S12_DX	S12_DX_Rep1
A00232	Fw_7	Rv_5	S13_DX	S13_DX_Rep1
A00233	Fw_7	Rv_6	S14_DX	S14_DX_Rep1
A00234	Fw_7	Rv_7	S15_DX	S15_DX_Rep1
A00235	Fw_7	Rv_8	S16_DX	S16_DX_Rep1
A00236	Fw_4	Rv_5	S17_DX	S17_DX_Rep1
A00237	Fw_4	Rv_6	S18_DX	S18_DX_Rep1
A00238	Fw_4	Rv_7	S19_DX	S19_DX_Rep1
A00239	Fw_4	Rv_8	S20_DX	S20_DX_Rep1
H2O_1_1	Fw_8	Rv_1	NTC	NTC_Rep1
H2O_1_2	Fw_8	Rv_2	NTC	NTC_Rep1
H2O_1_3	Fw_8	Rv_3	NTC	NTC_Rep1
H2O_1_4	Fw_8	Rv_4	NTC	NTC_Rep1
A00240	Fw_9	Rv_1	S1_D0	S1_D0_Rep2
