SampleID	SampleName	MarkerID	Haplotype	Reads	NA
A00193	S1_D0	ama1-D3	Noise	0	FALSE
A00193	S1_D0	ama1-D3	Singelton	1949	FALSE
A00193	S1_D0	ama1-D3	ama1-D3-1	4424	FALSE
A00194	S2_D0	ama1-D3	Noise	2	FALSE
A00194	S2_D0	ama1-D3	Chimera	198	FALSE
A00194	S2_D0	ama1-D3	Singelton	2131	FALSE
A00194	S2_D0	ama1-D3	Indels	62	FALSE
A00194	S2_D0	ama1-D3	ama1-D3-5	382	FALSE
A00194	S2_D0	ama1-D3	ama1-D3-4	2732	FALSE
A00195	S3_D0	ama1-D3	Noise	2	FALSE
A00195	S3_D0	ama1-D3	Singelton	1036	FALSE
A00195	S3_D0	ama1-D3	Indels	13	FALSE
A00195	S3_D0	ama1-D3	ama1-D3-10	2227	FALSE
A00196	S4_D0	ama1-D3	Noise	35	FALSE
A00196	S4_D0	ama1-D3	Chimera	195	FALSE
A00196	S4_D0	ama1-D3	Singelton	1499	FALSE
A00196	S4_D0	ama1-D3	ama1-D3-14	105	FALSE
A00196	S4_D0	ama1-D3	ama1-D3-13	267	FALSE
A00196	S4_D0	ama1-D3	ama1-D3-12	408	FALSE
A00196	S4_D0	ama1-D3	ama1-D3-6	1121	FALSE
A00197	S5_D0	ama1-D3	Noise	0	FALSE
A00197	S5_D0	ama1-D3	Chimera	1	FALSE
A00197	S5_D0	ama1-D3	Singelton	1296	FALSE
A00197	S5_D0	ama1-D3	Indels	78	FALSE
A00197	S5_D0	ama1-D3	ama1-D3-19	2627	FALSE
A00198	S6_D0	ama1-D3	Noise	16	FALSE
A00198	S6_D0	ama1-D3	Singelton	1389	FALSE
A00198	S6_D0	ama1-D3	Indels	101	FALSE
A00198	S6_D0	ama1-D3	ama1-D3-21	2880	FALSE
A00199	S7_D0	ama1-D3	Noise	0	FALSE
A00199	S7_D0	ama1-D3	Singelton	1767	FALSE
A00199	S7_D0	ama1-D3	Indels	25	FALSE
A00199	S7_D0	ama1-D3	ama1-D3-25	2944	FALSE
A00200	S8_D0	ama1-D3	Noise	0	FALSE
A00200	S8_D0	ama1-D3	Singelton	1592	FALSE
A00200	S8_D0	ama1-D3	Indels	20	FALSE
A00200	S8_D0	ama1-D3	ama1-D3-15	3353	FALSE
A00201	S9_D0	ama1-D3	Noise	0	FALSE
A00201	S9_D0	ama1-D3	Singelton	1664	FALSE
A00201	S9_D0	ama1-D3	ama1-D3-1	2524	FALSE
A00202	S10_D0	ama1-D3	Noise	4	FALSE
A00202	S10_D0	ama1-D3	Chimera	6	FALSE
A00202	S10_D0	ama1-D3	Singelton	1867	FALSE
A00202	S10_D0	ama1-D3	Indels	44	FALSE
A00202	S10_D0	ama1-D3	ama1-D3-12	2925	FALSE
A00203	S11_D0	ama1-D3	Noise	2	FALSE
A00203	S11_D0	ama1-D3	Singelton	1942	FALSE
A00203	S11_D0	ama1-D3	ama1-D3-28	2734	FALSE
A00204	S12_D0	ama1-D3	Noise	2	FALSE
A00204	S12_D0	ama1-D3	Chimera	392	FALSE
A00204	S12_D0	ama1-D3	Singelton	2518	FALSE
A00204	S12_D0	ama1-D3	ama1-D3-33	43	FALSE
A00204	S12_D0	ama1-D3	ama1-D3-32	59	FALSE
A00204	S12_D0	ama1-D3	ama1-D3-4	107	FALSE
A00204	S12_D0	ama1-D3	ama1-D3-31	589	FALSE
A00204	S12_D0	ama1-D3	ama1-D3-30	1969	FALSE
A00205	S13_D0	ama1-D3	Noise	0	FALSE
A00205	S13_D0	ama1-D3	Singelton	2570	FALSE
A00205	S13_D0	ama1-D3	Indels	3	FALSE
A00205	S13_D0	ama1-D3	Noise	167	FALSE
A00205	S13_D0	ama1-D3	ama1-D3-36	1177	FALSE
A00205	S13_D0	ama1-D3	ama1-D3-35	1699	FALSE
A00206	S14_D0	ama1-D3	Noise	9	FALSE
A00206	S14_D0	ama1-D3	Chimera	4	FALSE
A00206	S14_D0	ama1-D3	Singelton	2539	FALSE
A00206	S14_D0	ama1-D3	ama1-D3-36	747	FALSE
A00206	S14_D0	ama1-D3	ama1-D3-1	2566	FALSE
A00207	S15_D0	ama1-D3	Noise	0	FALSE
A00207	S15_D0	ama1-D3	Singelton	2093	FALSE
A00207	S15_D0	ama1-D3	Indels	7	FALSE
A00207	S15_D0	ama1-D3	ama1-D3-1	3486	FALSE
A00208	S16_D0	ama1-D3	Noise	0	FALSE
A00208	S16_D0	ama1-D3	Singelton	810	FALSE
A00208	S16_D0	ama1-D3	Indels	5	FALSE
A00208	S16_D0	ama1-D3	ama1-D3-43	1001	FALSE
A00209	S17_D0	ama1-D3	Noise	0	FALSE
A00209	S17_D0	ama1-D3	Singelton	1811	FALSE
A00209	S17_D0	ama1-D3	Indels	95	FALSE
A00209	S17_D0	ama1-D3	ama1-D3-43	5161	FALSE
A00210	S18_D0	ama1-D3	Noise	17	FALSE
A00210	S18_D0	ama1-D3	Chimera	7	FALSE
A00210	S18_D0	ama1-D3	Singelton	1583	FALSE
A00210	S18_D0	ama1-D3	Indels	9	FALSE
A00210	S18_D0	ama1-D3	ama1-D3-35	3320	FALSE
A00211	S19_D0	ama1-D3	Noise	17	FALSE
A00211	S19_D0	ama1-D3	Chimera	68	FALSE
A00211	S19_D0	ama1-D3	Singelton	1946	FALSE
A00211	S19_D0	ama1-D3	Indels	19	FALSE
A00211	S19_D0	ama1-D3	ama1-D3-36	51	FALSE
A00211	S19_D0	ama1-D3	ama1-D3-34	4307	FALSE
A00212	S20_D0	ama1-D3	Noise	0	FALSE
A00212	S20_D0	ama1-D3	Singelton	1711	FALSE
A00212	S20_D0	ama1-D3	ama1-D3-12	5212	FALSE
A00213	POS_3D7-HB3_10-1	ama1-D3	Noise	0	FALSE
A00213	POS_3D7-HB3_10-1	ama1-D3	Singelton	2274	FALSE
A00213	POS_3D7-HB3_10-1	ama1-D3	Indels	26	FALSE
A00213	POS_3D7-HB3_10-1	ama1-D3	ama1-D3-18	8073	FALSE
A00214	POS_3D7-HB3_100-1	ama1-D3	Noise	0	FALSE
A00214	POS_3D7-HB3_100-1	ama1-D3	Chimera	7	FALSE
A00214	POS_3D7-HB3_100-1	ama1-D3	Singelton	1148	FALSE
A00214	POS_3D7-HB3_100-1	ama1-D3	Indels	180	FALSE
A00214	POS_3D7-HB3_100-1	ama1-D3	ama1-D3-18	2836	FALSE
A00215	POS_3D7:HB3_500-1	ama1-D3	Noise	0	FALSE
A00215	POS_3D7:HB3_500-1	ama1-D3	Singelton	873	FALSE
A00215	POS_3D7:HB3_500-1	ama1-D3	Indels	18	FALSE
A00215	POS_3D7:HB3_500-1	ama1-D3	ama1-D3-18	2678	FALSE
A00216	POS_3D7-K1-HB3-FCB1_1-10-1-1	ama1-D3	Noise	12	FALSE
A00216	POS_3D7-K1-HB3-FCB1_1-10-1-1	ama1-D3	Chimera	39	FALSE
A00216	POS_3D7-K1-HB3-FCB1_1-10-1-1	ama1-D3	Singelton	1327	FALSE
A00216	POS_3D7-K1-HB3-FCB1_1-10-1-1	ama1-D3	Indels	93	FALSE
A00216	POS_3D7-K1-HB3-FCB1_1-10-1-1	ama1-D3	ama1-D3-18	153	FALSE
A00216	POS_3D7-K1-HB3-FCB1_1-10-1-1	ama1-D3	ama1-D3-4	212	FALSE
A00216	POS_3D7-K1-HB3-FCB1_1-10-1-1	ama1-D3	ama1-D3-53	368	FALSE
A00216	POS_3D7-K1-HB3-FCB1_1-10-1-1	ama1-D3	ama1-D3-51	2616	FALSE
A00217	POS_3D7-K1-HB3-FCB1_50-1-1-1	ama1-D3	Noise	0	FALSE
A00217	POS_3D7-K1-HB3-FCB1_50-1-1-1	ama1-D3	Chimera	19	FALSE
A00217	POS_3D7-K1-HB3-FCB1_50-1-1-1	ama1-D3	Singelton	1010	FALSE
A00217	POS_3D7-K1-HB3-FCB1_50-1-1-1	ama1-D3	Indels	125	FALSE
A00217	POS_3D7-K1-HB3-FCB1_50-1-1-1	ama1-D3	ama1-D3-4	31	FALSE
A00217	POS_3D7-K1-HB3-FCB1_50-1-1-1	ama1-D3	ama1-D3-53	40	FALSE
A00217	POS_3D7-K1-HB3-FCB1_50-1-1-1	ama1-D3	ama1-D3-51	80	FALSE
A00217	POS_3D7-K1-HB3-FCB1_50-1-1-1	ama1-D3	ama1-D3-18	2279	FALSE
A00218	POS_3D7-K1-HB3-FCB1_1-1-10-10	ama1-D3	Noise	6	FALSE
A00218	POS_3D7-K1-HB3-FCB1_1-1-10-10	ama1-D3	Chimera	231	FALSE
A00218	POS_3D7-K1-HB3-FCB1_1-1-10-10	ama1-D3	Singelton	1200	FALSE
A00218	POS_3D7-K1-HB3-FCB1_1-1-10-10	ama1-D3	Indels	40	FALSE
A00218	POS_3D7-K1-HB3-FCB1_1-1-10-10	ama1-D3	ama1-D3-51	91	FALSE
A00218	POS_3D7-K1-HB3-FCB1_1-1-10-10	ama1-D3	ama1-D3-18	132	FALSE
A00218	POS_3D7-K1-HB3-FCB1_1-1-10-10	ama1-D3	ama1-D3-4	702	FALSE
A00218	POS_3D7-K1-HB3-FCB1_1-1-10-10	ama1-D3	ama1-D3-53	1534	FALSE
