SampleID	SampleName	MarkerID	Haplotype	Reads	NA
A00193	S1_D0	cpmp	Noise	1	FALSE
A00193	S1_D0	cpmp	Singelton	186	FALSE
A00193	S1_D0	cpmp	cpmp-1	19716	FALSE
A00194	S2_D0	cpmp	Noise	1	FALSE
A00194	S2_D0	cpmp	Singelton	175	FALSE
A00194	S2_D0	cpmp	Chimera	443	FALSE
A00194	S2_D0	cpmp	cpmp-4	2260	FALSE
A00194	S2_D0	cpmp	cpmp-3	15448	FALSE
A00195	S3_D0	cpmp	Noise	21	FALSE
A00195	S3_D0	cpmp	Singelton	132	FALSE
A00195	S3_D0	cpmp	Chimera	12	FALSE
A00195	S3_D0	cpmp	cpmp-8	13288	FALSE
A00196	S4_D0	cpmp	Noise	2	FALSE
A00196	S4_D0	cpmp	Singelton	202	FALSE
A00196	S4_D0	cpmp	Chimera	2358	FALSE
A00196	S4_D0	cpmp	cpmp-13	375	FALSE
A00196	S4_D0	cpmp	cpmp-12	624	FALSE
A00196	S4_D0	cpmp	cpmp-11	1288	FALSE
A00196	S4_D0	cpmp	cpmp-10	1654	FALSE
A00196	S4_D0	cpmp	cpmp-7	4053	FALSE
A00197	S5_D0	cpmp	Noise	0	FALSE
A00197	S5_D0	cpmp	Singelton	100	FALSE
A00197	S5_D0	cpmp	cpmp-16	14782	FALSE
A00198	S6_D0	cpmp	Noise	99	FALSE
A00198	S6_D0	cpmp	Singelton	147	FALSE
A00198	S6_D0	cpmp	Chimera	41	FALSE
A00198	S6_D0	cpmp	cpmp-17	15608	FALSE
A00199	S7_D0	cpmp	Noise	1	FALSE
A00199	S7_D0	cpmp	Singelton	166	FALSE
A00199	S7_D0	cpmp	Chimera	1	FALSE
A00199	S7_D0	cpmp	cpmp-18	14323	FALSE
A00200	S8_D0	cpmp	Noise	1	FALSE
A00200	S8_D0	cpmp	Singelton	117	FALSE
A00200	S8_D0	cpmp	cpmp-21	12713	FALSE
A00201	S9_D0	cpmp	Noise	1	FALSE
A00201	S9_D0	cpmp	Singelton	105	FALSE
A00201	S9_D0	cpmp	cpmp-2	10575	FALSE
A00202	S10_D0	cpmp	Noise	2	FALSE
A00202	S10_D0	cpmp	Singelton	240	FALSE
A00202	S10_D0	cpmp	Chimera	1	FALSE
A00202	S10_D0	cpmp	cpmp-24	14215	FALSE
A00203	S11_D0	cpmp	Noise	38	FALSE
A00203	S11_D0	cpmp	Singelton	157	FALSE
A00203	S11_D0	cpmp	Indels	2	FALSE
A00203	S11_D0	cpmp	cpmp-25	12589	FALSE
A00204	S12_D0	cpmp	Noise	94	FALSE
A00204	S12_D0	cpmp	Singelton	202	FALSE
A00204	S12_D0	cpmp	Chimera	586	FALSE
A00204	S12_D0	cpmp	cpmp-29	813	FALSE
A00204	S12_D0	cpmp	cpmp-28	11380	FALSE
A00205	S13_D0	cpmp	Noise	0	FALSE
A00205	S13_D0	cpmp	Singelton	183	FALSE
A00205	S13_D0	cpmp	Chimera	18	FALSE
A00205	S13_D0	cpmp	cpmp-36	4279	FALSE
A00205	S13_D0	cpmp	cpmp-35	7148	FALSE
