SampleID	SampleName	MarkerID	Haplotype	Reads	NA
A00193	S1_D0	cpp	Noise	0	FALSE
A00193	S1_D0	cpp	Singelton	1	FALSE
A00193	S1_D0	cpp	cpp-1	2214	FALSE
A00194	S2_D0	cpp	Noise	0	FALSE
A00194	S2_D0	cpp	Singelton	6	FALSE
A00194	S2_D0	cpp	cpp-3	77	FALSE
A00194	S2_D0	cpp	cpp-2	7505	FALSE
A00195	S3_D0	cpp	Noise	12	FALSE
A00195	S3_D0	cpp	Singelton	7	FALSE
A00195	S3_D0	cpp	Chimera	5	FALSE
A00195	S3_D0	cpp	cpp-4	5363	FALSE
A00196	S4_D0	cpp	Noise	1	FALSE
A00196	S4_D0	cpp	Singelton	10	FALSE
A00196	S4_D0	cpp	Chimera	1118	FALSE
A00196	S4_D0	cpp	cpp-10	212	FALSE
A00196	S4_D0	cpp	cpp-9	570	FALSE
A00196	S4_D0	cpp	cpp-8	631	FALSE
A00196	S4_D0	cpp	cpp-7	2132	FALSE
A00197	S5_D0	cpp	Noise	0	FALSE
A00197	S5_D0	cpp	Singelton	2	FALSE
A00197	S5_D0	cpp	cpp-3	2670	FALSE
A00198	S6_D0	cpp	Noise	22	FALSE
A00198	S6_D0	cpp	Singelton	5	FALSE
A00198	S6_D0	cpp	cpp-18	3061	FALSE
A00199	S7_D0	cpp	Noise	1	FALSE
A00199	S7_D0	cpp	Singelton	5	FALSE
A00199	S7_D0	cpp	cpp-24	1589	FALSE
A00200	S8_D0	cpp	Noise	1	FALSE
A00200	S8_D0	cpp	Singelton	5	FALSE
A00200	S8_D0	cpp	cpp-13	2240	FALSE
A00202	S10_D0	cpp	Noise	0	FALSE
A00202	S10_D0	cpp	Singelton	4	FALSE
A00202	S10_D0	cpp	cpp-14	6502	FALSE
A00203	S11_D0	cpp	Noise	7	FALSE
A00203	S11_D0	cpp	Singelton	5	FALSE
A00203	S11_D0	cpp	cpp-11	4102	FALSE
A00204	S12_D0	cpp	Noise	1	FALSE
A00204	S12_D0	cpp	Singelton	3	FALSE
A00204	S12_D0	cpp	Chimera	77	FALSE
A00204	S12_D0	cpp	cpp-14	1773	FALSE
A00204	S12_D0	cpp	cpp-16	5621	FALSE
A00206	S14_D0	cpp	Noise	26	FALSE
A00206	S14_D0	cpp	Singelton	16	FALSE
A00206	S14_D0	cpp	Chimera	867	FALSE
A00206	S14_D0	cpp	cpp-13	1216	FALSE
A00206	S14_D0	cpp	cpp-28	3289	FALSE
A00207	S15_D0	cpp	Noise	0	FALSE
A00207	S15_D0	cpp	Singelton	1	FALSE
A00207	S15_D0	cpp	cpp-21	3638	FALSE
A00208	S16_D0	cpp	Noise	0	FALSE
A00208	S16_D0	cpp	Singelton	2	FALSE
A00208	S16_D0	cpp	cpp-24	2598	FALSE
A00209	S17_D0	cpp	Noise	0	FALSE
A00209	S17_D0	cpp	Singelton	3	FALSE
A00209	S17_D0	cpp	cpp-32	3395	FALSE
A00210	S18_D0	cpp	Noise	34	FALSE
A00210	S18_D0	cpp	Singelton	7	FALSE
A00210	S18_D0	cpp	Chimera	3	FALSE
A00210	S18_D0	cpp	cpp-33	10216	FALSE
A00211	S19_D0	cpp	Noise	1	FALSE
A00211	S19_D0	cpp	Singelton	3	FALSE
A00211	S19_D0	cpp	Chimera	19	FALSE
A00211	S19_D0	cpp	Indels	1	FALSE
A00211	S19_D0	cpp	cpp-13	47	FALSE
A00211	S19_D0	cpp	cpp-36	49	FALSE
A00211	S19_D0	cpp	cpp-25	3532	FALSE
A00212	S20_D0	cpp	Noise	0	FALSE
A00212	S20_D0	cpp	Singelton	2	FALSE
A00212	S20_D0	cpp	cpp-13	3235	FALSE
A00213	POS_3D7-HB3_10-1	cpp	Noise	45	FALSE
A00213	POS_3D7-HB3_10-1	cpp	Singelton	7	FALSE
A00213	POS_3D7-HB3_10-1	cpp	Chimera	155	FALSE
A00213	POS_3D7-HB3_10-1	cpp	Indels	3	FALSE
A00213	POS_3D7-HB3_10-1	cpp	cpp-37	134	FALSE
A00213	POS_3D7-HB3_10-1	cpp	cpp-2	490	FALSE
A00213	POS_3D7-HB3_10-1	cpp	cpp-26	11100	FALSE
A00214	POS_3D7-HB3_100-1	cpp	Noise	57	FALSE
A00214	POS_3D7-HB3_100-1	cpp	Singelton	3	FALSE
A00214	POS_3D7-HB3_100-1	cpp	Chimera	11	FALSE
A00214	POS_3D7-HB3_100-1	cpp	cpp-26	10742	FALSE
A00215	POS_3D7:HB3_500-1	cpp	Noise	13	FALSE
A00215	POS_3D7:HB3_500-1	cpp	Singelton	1	FALSE
A00215	POS_3D7:HB3_500-1	cpp	Chimera	3	FALSE
A00215	POS_3D7:HB3_500-1	cpp	cpp-26	5095	FALSE
A00216	POS_3D7-K1-HB3-FCB1_1-10-1-1	cpp	Noise	9	FALSE
A00216	POS_3D7-K1-HB3-FCB1_1-10-1-1	cpp	Singelton	8	FALSE
A00216	POS_3D7-K1-HB3-FCB1_1-10-1-1	cpp	Chimera	379	FALSE
A00216	POS_3D7-K1-HB3-FCB1_1-10-1-1	cpp	cpp-2	278	FALSE
A00216	POS_3D7-K1-HB3-FCB1_1-10-1-1	cpp	cpp-26	434	FALSE
A00216	POS_3D7-K1-HB3-FCB1_1-10-1-1	cpp	cpp-17	554	FALSE
A00216	POS_3D7-K1-HB3-FCB1_1-10-1-1	cpp	cpp-39	3646	FALSE
A00217	POS_3D7-K1-HB3-FCB1_50-1-1-1	cpp	Noise	22	FALSE
A00217	POS_3D7-K1-HB3-FCB1_50-1-1-1	cpp	Singelton	5	FALSE
A00217	POS_3D7-K1-HB3-FCB1_50-1-1-1	cpp	Chimera	40	FALSE
A00217	POS_3D7-K1-HB3-FCB1_50-1-1-1	cpp	cpp-2	36	FALSE
A00217	POS_3D7-K1-HB3-FCB1_50-1-1-1	cpp	cpp-39	55	FALSE
A00217	POS_3D7-K1-HB3-FCB1_50-1-1-1	cpp	cpp-17	105	FALSE
A00217	POS_3D7-K1-HB3-FCB1_50-1-1-1	cpp	cpp-26	2659	FALSE
A00218	POS_3D7-K1-HB3-FCB1_1-1-10-10	cpp	Noise	7	FALSE
A00218	POS_3D7-K1-HB3-FCB1_1-1-10-10	cpp	Singelton	10	FALSE
A00218	POS_3D7-K1-HB3-FCB1_1-1-10-10	cpp	Chimera	531	FALSE
A00218	POS_3D7-K1-HB3-FCB1_1-1-10-10	cpp	cpp-39	146	FALSE
A00218	POS_3D7-K1-HB3-FCB1_1-1-10-10	cpp	cpp-26	149	FALSE
A00218	POS_3D7-K1-HB3-FCB1_1-1-10-10	cpp	cpp-2	963	FALSE
A00218	POS_3D7-K1-HB3-FCB1_1-1-10-10	cpp	cpp-17	2773	FALSE
A00219	POS_3D7-K1-HB3-FCB1_1-5-5-5	cpp	Noise	0	FALSE
A00219	POS_3D7-K1-HB3-FCB1_1-5-5-5	cpp	Singelton	8	FALSE
A00219	POS_3D7-K1-HB3-FCB1_1-5-5-5	cpp	Chimera	297	FALSE
A00219	POS_3D7-K1-HB3-FCB1_1-5-5-5	cpp	cpp-26	123	FALSE
A00219	POS_3D7-K1-HB3-FCB1_1-5-5-5	cpp	cpp-2	365	FALSE
A00219	POS_3D7-K1-HB3-FCB1_1-5-5-5	cpp	cpp-39	835	FALSE
A00219	POS_3D7-K1-HB3-FCB1_1-5-5-5	cpp	cpp-17	1047	FALSE
A00220	S1_DX	cpp	Noise	0	FALSE
A00220	S1_DX	cpp	Singelton	3	FALSE
A00220	S1_DX	cpp	cpp-1	3263	FALSE
A00221	S2_DX	cpp	Noise	22	FALSE
A00221	S2_DX	cpp	Singelton	3	FALSE
A00221	S2_DX	cpp	Chimera	7	FALSE
A00221	S2_DX	cpp	cpp-2	136	FALSE
A00221	S2_DX	cpp	cpp-43	3179	FALSE
A00222	S3_DX	cpp	Noise	12	FALSE
A00222	S3_DX	cpp	Singelton	7	FALSE
A00222	S3_DX	cpp	Chimera	5	FALSE
A00222	S3_DX	cpp	cpp-4	3112	FALSE
A00223	S4_DX	cpp	Noise	0	FALSE
A00223	S4_DX	cpp	Singelton	6	FALSE
A00223	S4_DX	cpp	cpp-7	3061	FALSE
A00224	S5_DX	cpp	Noise	0	FALSE
A00224	S5_DX	cpp	Singelton	5	FALSE
A00224	S5_DX	cpp	cpp-3	2596	FALSE
A00225	S6_DX	cpp	Noise	0	FALSE
A00225	S6_DX	cpp	Singelton	2	FALSE
A00225	S6_DX	cpp	cpp-13	4323	FALSE
A00226	S7_DX	cpp	Noise	7	FALSE
A00226	S7_DX	cpp	Singelton	3	FALSE
A00226	S7_DX	cpp	cpp-24	3320	FALSE
A00227	S8_DX	cpp	Noise	0	FALSE
A00227	S8_DX	cpp	Singelton	2	FALSE
A00227	S8_DX	cpp	cpp-13	6653	FALSE
A00229	S10_DX	cpp	Noise	0	FALSE
A00229	S10_DX	cpp	cpp-14	3999	FALSE
A00230	S11_DX	cpp	Noise	0	FALSE
A00230	S11_DX	cpp	Singelton	3	FALSE
A00230	S11_DX	cpp	cpp-11	3451	FALSE
A00231	S12_DX	cpp	Noise	0	FALSE
