SampleID	SampleName	MarkerID	Haplotype	Reads	NA
A00193	S1_D0	msp7	Noise	0	FALSE
A00193	S1_D0	msp7	Singelton	7	FALSE
A00193	S1_D0	msp7	Indels	1	FALSE
A00193	S1_D0	msp7	msp7-1	4873	FALSE
A00194	S2_D0	msp7	Noise	1	FALSE
A00194	S2_D0	msp7	Singelton	13	FALSE
A00194	S2_D0	msp7	Indels	1	FALSE
A00194	S2_D0	msp7	msp7-3	22116	FALSE
A00195	S3_D0	msp7	Noise	0	FALSE
A00195	S3_D0	msp7	Singelton	3	FALSE
A00195	S3_D0	msp7	Indels	4	FALSE
A00195	S3_D0	msp7	msp7-1	11614	FALSE
A00196	S4_D0	msp7	Noise	0	FALSE
A00196	S4_D0	msp7	Singelton	17	FALSE
A00196	S4_D0	msp7	Indels	1419	FALSE
A00196	S4_D0	msp7	Chimera	1090	FALSE
A00196	S4_D0	msp7	msp7-8	585	FALSE
A00196	S4_D0	msp7	msp7-2	695	FALSE
A00196	S4_D0	msp7	msp7-7	1857	FALSE
A00196	S4_D0	msp7	msp7-6	4551	FALSE
A00197	S5_D0	msp7	Noise	0	FALSE
A00197	S5_D0	msp7	Singelton	3	FALSE
A00197	S5_D0	msp7	Indels	3	FALSE
A00197	S5_D0	msp7	msp7-14	5709	FALSE
A00198	S6_D0	msp7	Noise	1	FALSE
A00198	S6_D0	msp7	Singelton	7	FALSE
A00198	S6_D0	msp7	msp7-1	8029	FALSE
A00199	S7_D0	msp7	Noise	1	FALSE
A00199	S7_D0	msp7	Singelton	3	FALSE
A00199	S7_D0	msp7	Indels	1	FALSE
A00199	S7_D0	msp7	msp7-1	4868	FALSE
A00200	S8_D0	msp7	Noise	0	FALSE
A00200	S8_D0	msp7	Singelton	11	FALSE
A00200	S8_D0	msp7	Indels	1	FALSE
A00200	S8_D0	msp7	msp7-15	4448	FALSE
A00201	S9_D0	msp7	Noise	2	FALSE
A00201	S9_D0	msp7	Singelton	30	FALSE
A00201	S9_D0	msp7	Indels	6	FALSE
A00201	S9_D0	msp7	msp7-1	37468	FALSE
A00202	S10_D0	msp7	Noise	2	FALSE
A00202	S10_D0	msp7	Singelton	28	FALSE
A00202	S10_D0	msp7	Indels	8	FALSE
A00202	S10_D0	msp7	msp7-1	28452	FALSE
A00203	S11_D0	msp7	Noise	14	FALSE
A00203	S11_D0	msp7	Singelton	7	FALSE
A00203	S11_D0	msp7	msp7-1	10415	FALSE
A00204	S12_D0	msp7	Noise	0	FALSE
A00204	S12_D0	msp7	Singelton	31	FALSE
A00204	S12_D0	msp7	Indels	6	FALSE
A00204	S12_D0	msp7	Chimera	470	FALSE
A00204	S12_D0	msp7	msp7-8	1753	FALSE
