SampleID SampleName MarkerID Haplotype Reads Replicate MOI HapFreqRep HapFreq
A00213 POS_3D7-HB3_10-1 ama1-D3 ama1-D3-18 8073 1 2 0.0482462693256997 0.0255743146503217
A00260 POS_3D7-HB3_10-1 ama1-D3 ama1-D3-4 222 2 2 0.00107735088153508 0.0010262022147789
A00260 POS_3D7-HB3_10-1 ama1-D3 ama1-D3-18 3873 2 2 0.0187954052440782 0.0255743146503217
A00307 POS_3D7-HB3_10-1 ama1-D3 ama1-D3-4 183 3 2 0.000975053548022719 0.0010262022147789
A00307 POS_3D7-HB3_10-1 ama1-D3 ama1-D3-18 1817 3 2 0.00968126938118733 0.0255743146503217
A00214 POS_3D7-HB3_100-1 ama1-D3 ama1-D3-18 2836 1 1 0.0169486460804762 0.0167719859635924
A00261 POS_3D7-HB3_100-1 ama1-D3 ama1-D3-18 4547 2 1 0.0220662813438739 0.0167719859635924
A00308 POS_3D7-HB3_100-1 ama1-D3 ama1-D3-18 2121 3 1 0.0113010304664273 0.0167719859635924
A00218 POS_3D7-K1-HB3-FCB1_1-1-10-10 ama1-D3 ama1-D3-51 91 1 4 0.000543838784669722 0.000771974965236659
A00218 POS_3D7-K1-HB3-FCB1_1-1-10-10 ama1-D3 ama1-D3-18 132 1 4 0.000788865050290147 0.00049689466343937
A00218 POS_3D7-K1-HB3-FCB1_1-1-10-10 ama1-D3 ama1-D3-4 702 1 4 0.00419532776745214 0.00486298498077185
A00218 POS_3D7-K1-HB3-FCB1_1-1-10-10 ama1-D3 ama1-D3-53 1534 1 4 0.00916756808443247 0.00868909617061363
A00265 POS_3D7-K1-HB3-FCB1_1-1-10-10 ama1-D3 ama1-D3-18 48 2 4 0.00023294073114272 0.00049689466343937
A00265 POS_3D7-K1-HB3-FCB1_1-1-10-10 ama1-D3 ama1-D3-51 184 2 4 0.000892939469380426 0.000771974965236659
A00265 POS_3D7-K1-HB3-FCB1_1-1-10-10 ama1-D3 ama1-D3-4 1147 2 4 0.00556631288793124 0.00486298498077185
A00265 POS_3D7-K1-HB3-FCB1_1-1-10-10 ama1-D3 ama1-D3-53 1774 2 4 0.00860910118848302 0.00868909617061363
A00312 POS_3D7-K1-HB3-FCB1_1-1-10-10 ama1-D3 ama1-D3-18 88 3 4 0.000468878208885242 0.00049689466343937
A00312 POS_3D7-K1-HB3-FCB1_1-1-10-10 ama1-D3 ama1-D3-51 165 3 4 0.000879146641659829 0.000771974965236659
A00312 POS_3D7-K1-HB3-FCB1_1-1-10-10 ama1-D3 ama1-D3-4 906 3 4 0.00482731428693215 0.00486298498077185
A00312 POS_3D7-K1-HB3-FCB1_1-1-10-10 ama1-D3 ama1-D3-53 1556 3 4 0.00829061923892542 0.00868909617061363
A00216 POS_3D7-K1-HB3-FCB1_1-10-1-1 ama1-D3 ama1-D3-18 153 1 4 0.000914366308290852 0.00126904062531878
A00216 POS_3D7-K1-HB3-FCB1_1-10-1-1 ama1-D3 ama1-D3-4 212 1 4 0.00126696508076902 0.000696476938739903
A00216 POS_3D7-K1-HB3-FCB1_1-10-1-1 ama1-D3 ama1-D3-53 368 1 4 0.00219926014020283 0.00150878427269703
A00216 POS_3D7-K1-HB3-FCB1_1-10-1-1 ama1-D3 ama1-D3-51 2616 1 4 0.0156338709966593 0.0134631177565542
A00263 POS_3D7-K1-HB3-FCB1_1-10-1-1 ama1-D3 ama1-D3-4 52 2 4 0.000252352458737947 0.000696476938739903
A00263 POS_3D7-K1-HB3-FCB1_1-10-1-1 ama1-D3 ama1-D3-53 227 2 4 0.00110161554102911 0.00150878427269703
A00263 POS_3D7-K1-HB3-FCB1_1-10-1-1 ama1-D3 ama1-D3-18 270 2 4 0.0013102916126778 0.00126904062531878
A00263 POS_3D7-K1-HB3-FCB1_1-10-1-1 ama1-D3 ama1-D3-51 2263 2 4 0.0109821848869995 0.0134631177565542
A00310 POS_3D7-K1-HB3-FCB1_1-10-1-1 ama1-D3 ama1-D3-4 107 3 4 0.000570113276712737 0.000696476938739903
A00310 POS_3D7-K1-HB3-FCB1_1-10-1-1 ama1-D3 ama1-D3-53 230 3 4 0.00122547713685916 0.00150878427269703
A00310 POS_3D7-K1-HB3-FCB1_1-10-1-1 ama1-D3 ama1-D3-18 297 3 4 0.00158246395498769 0.00126904062531878
A00310 POS_3D7-K1-HB3-FCB1_1-10-1-1 ama1-D3 ama1-D3-51 2585 3 4 0.013773297386004 0.0134631177565542
A00219 POS_3D7-K1-HB3-FCB1_1-5-5-5 ama1-D3 ama1-D3-18 160 1 4 0.000956200060957754 0.000796035236505248
A00219 POS_3D7-K1-HB3-FCB1_1-5-5-5 ama1-D3 ama1-D3-4 592 1 4 0.00353794022554369 0.00334341355012271
A00219 POS_3D7-K1-HB3-FCB1_1-5-5-5 ama1-D3 ama1-D3-51 844 1 4 0.00504395532155215 0.00442110787884838
A00219 POS_3D7-K1-HB3-FCB1_1-5-5-5 ama1-D3 ama1-D3-53 1130 1 4 0.00675316293051414 0.00475225244240923
A00266 POS_3D7-K1-HB3-FCB1_1-5-5-5 ama1-D3 ama1-D3-18 115 2 4 0.000558087168362766 0.000796035236505248
A00266 POS_3D7-K1-HB3-FCB1_1-5-5-5 ama1-D3 ama1-D3-4 443 2 4 0.00214984883117135 0.00334341355012271
A00266 POS_3D7-K1-HB3-FCB1_1-5-5-5 ama1-D3 ama1-D3-51 789 2 4 0.00382896326815846 0.00442110787884838
A00266 POS_3D7-K1-HB3-FCB1_1-5-5-5 ama1-D3 ama1-D3-53 804 2 4 0.00390175724664056 0.00475225244240923
A00313 POS_3D7-K1-HB3-FCB1_1-5-5-5 ama1-D3 ama1-D3-18 164 3 4 0.000873818480195224 0.000796035236505248
A00313 POS_3D7-K1-HB3-FCB1_1-5-5-5 ama1-D3 ama1-D3-53 676 3 4 0.003601837150073 0.00475225244240923
A00313 POS_3D7-K1-HB3-FCB1_1-5-5-5 ama1-D3 ama1-D3-4 815 3 4 0.00434245159365309 0.00334341355012271
A00313 POS_3D7-K1-HB3-FCB1_1-5-5-5 ama1-D3 ama1-D3-51 824 3 4 0.00439040504683454 0.00442110787884838
A00217 POS_3D7-K1-HB3-FCB1_50-1-1-1 ama1-D3 ama1-D3-4 31 1 4 0.000185263761810565 0.000185263761810565
A00217 POS_3D7-K1-HB3-FCB1_50-1-1-1 ama1-D3 ama1-D3-53 40 1 4 0.000239050015239438 0.000239050015239438
A00217 POS_3D7-K1-HB3-FCB1_50-1-1-1 ama1-D3 ama1-D3-51 80 1 4 0.000478100030478877 0.000478100030478877
A00217 POS_3D7-K1-HB3-FCB1_50-1-1-1 ama1-D3 ama1-D3-18 2279 1 4 0.013619874618267 0.0178819014362609
A00311 POS_3D7-K1-HB3-FCB1_50-1-1-1 ama1-D3 ama1-D3-18 4563 2 4 0.0221439282542548 0.0178819014362609
A00215 POS_3D7:HB3_500-1 ama1-D3 ama1-D3-18 2678 1 1 0.0160043985202804 0.0230350449953532
A00262 POS_3D7:HB3_500-1 ama1-D3 ama1-D3-18 4372 2 1 0.0212170182615827 0.0230350449953532
