SampleID SampleName MarkerID Haplotype Reads Replicate MOI HapFreqRep HapFreq
A00213 POS_3D7-HB3_10-1 cpp cpp-37 134 1 3 0.000646088273015689 0.000386258453011018
A00213 POS_3D7-HB3_10-1 cpp cpp-2 490 1 3 0.00236256159535588 0.00152574179304774
A00213 POS_3D7-HB3_10-1 cpp cpp-26 11100 1 3 0.053519252466225 0.0261880591728028
A00260 POS_3D7-HB3_10-1 cpp cpp-37 69 2 3 0.00035980601762528 0.000386258453011018
A00260 POS_3D7-HB3_10-1 cpp cpp-2 315 2 3 0.00164259268915889 0.00152574179304774
A00260 POS_3D7-HB3_10-1 cpp cpp-26 2674 2 3 0.013943786827971 0.0261880591728028
A00307 POS_3D7-HB3_10-1 cpp cpp-37 31 3 3 0.000152881068392086 0.000386258453011018
A00307 POS_3D7-HB3_10-1 cpp cpp-2 116 3 3 0.00057207109462845 0.00152574179304774
A00307 POS_3D7-HB3_10-1 cpp cpp-26 2251 3 3 0.0111011382242124 0.0261880591728028
A00214 POS_3D7-HB3_100-1 cpp cpp-26 10742 1 1 0.0517931360353324 0.0278233173218633
A00261 POS_3D7-HB3_100-1 cpp cpp-26 2757 2 1 0.0143765969651145 0.0278233173218633
A00308 POS_3D7-HB3_100-1 cpp cpp-26 3508 3 1 0.0173002189651431 0.0278233173218633
A00218 POS_3D7-K1-HB3-FCB1_1-1-10-10 cpp cpp-39 146 1 4 0.000703946924330527 0.000641454292159458
A00218 POS_3D7-K1-HB3-FCB1_1-1-10-10 cpp cpp-26 149 1 4 0.000718411587159237 0.000637383142694848
A00218 POS_3D7-K1-HB3-FCB1_1-1-10-10 cpp cpp-2 963 1 4 0.00464315676801574 0.00476458138471412
A00218 POS_3D7-K1-HB3-FCB1_1-1-10-10 cpp cpp-17 2773 1 4 0.0133701700080038 0.011807082603636
A00265 POS_3D7-K1-HB3-FCB1_1-1-10-10 cpp cpp-26 123 2 4 0.000641393335766804 0.000637383142694848
A00265 POS_3D7-K1-HB3-FCB1_1-1-10-10 cpp cpp-39 165 2 4 0.000860405694321322 0.000641454292159458
A00265 POS_3D7-K1-HB3-FCB1_1-1-10-10 cpp cpp-2 1305 2 4 0.00680502685508682 0.00476458138471412
A00265 POS_3D7-K1-HB3-FCB1_1-1-10-10 cpp cpp-17 3126 2 4 0.0163007769724149 0.011807082603636
A00312 POS_3D7-K1-HB3-FCB1_1-1-10-10 cpp cpp-39 73 3 4 0.000360010257826524 0.000641454292159458
A00312 POS_3D7-K1-HB3-FCB1_1-1-10-10 cpp cpp-26 112 3 4 0.000552344505158503 0.000637383142694848
A00312 POS_3D7-K1-HB3-FCB1_1-1-10-10 cpp cpp-2 577 3 4 0.00284556053103979 0.00476458138471412
A00312 POS_3D7-K1-HB3-FCB1_1-1-10-10 cpp cpp-17 1166 3 4 0.00575030083048942 0.011807082603636
A00216 POS_3D7-K1-HB3-FCB1_1-10-1-1 cpp cpp-2 278 1 4 0.00134039208879374 0.000787874864414511
A00216 POS_3D7-K1-HB3-FCB1_1-10-1-1 cpp cpp-26 434 1 4 0.00209255455588664 0.0017767632349085
A00216 POS_3D7-K1-HB3-FCB1_1-10-1-1 cpp cpp-17 554 1 4 0.00267114106903501 0.0022022472630898
A00216 POS_3D7-K1-HB3-FCB1_1-10-1-1 cpp cpp-39 3646 1 4 0.0175793868911582 0.0139338572920537
A00263 POS_3D7-K1-HB3-FCB1_1-10-1-1 cpp cpp-2 113 2 4 0.000589247536110966 0.000787874864414511
A00263 POS_3D7-K1-HB3-FCB1_1-10-1-1 cpp cpp-26 410 2 4 0.00213797778588935 0.0017767632349085
