SampleID SampleName MarkerID Haplotype Reads Replicate MOI HapFreqRep HapFreq
A00213 POS_3D7-HB3_10-1 msp7 msp7-9 1137 1 2 0.00230651728062221 0.0010099538343562
A00213 POS_3D7-HB3_10-1 msp7 msp7-4 14354 1 2 0.0291185127933608 0.0180591249074921
A00260 POS_3D7-HB3_10-1 msp7 msp7-9 149 2 2 0.000278181774052922 0.0010099538343562
A00260 POS_3D7-HB3_10-1 msp7 msp7-4 7239 2 2 0.0135151534387188 0.0180591249074921
A00307 POS_3D7-HB3_10-1 msp7 msp7-9 248 3 2 0.000445162448393466 0.0010099538343562
A00307 POS_3D7-HB3_10-1 msp7 msp7-4 6431 3 2 0.0115437084903967 0.0180591249074921
A00214 POS_3D7-HB3_100-1 msp7 msp7-4 24791 1 1 0.0502910025540064 0.0275274033561966
A00261 POS_3D7-HB3_100-1 msp7 msp7-4 9412 2 1 0.0175721265596383 0.0275274033561966
A00308 POS_3D7-HB3_100-1 msp7 msp7-4 8200 3 1 0.0147190809549453 0.0275274033561966
A00218 POS_3D7-K1-HB3-FCB1_1-1-10-10 msp7 msp7-10 188 1 5 0.000381376647983268 0.000459629936191777
A00218 POS_3D7-K1-HB3-FCB1_1-1-10-10 msp7 msp7-4 288 1 5 0.000584236567123304 0.000736552295488205
A00218 POS_3D7-K1-HB3-FCB1_1-1-10-10 msp7 msp7-21 416 1 5 0.000843897263622551 0.000714061606508588
A00218 POS_3D7-K1-HB3-FCB1_1-1-10-10 msp7 msp7-9 2101 1 5 0.00426208690113216 0.00457686440387003
A00218 POS_3D7-K1-HB3-FCB1_1-1-10-10 msp7 msp7-5 4226 1 5 0.00857286018285793 0.00957331754310695
A00265 POS_3D7-K1-HB3-FCB1_1-1-10-10 msp7 msp7-10 342 2 5 0.000638511186081203 0.000459629936191777
A00265 POS_3D7-K1-HB3-FCB1_1-1-10-10 msp7 msp7-21 356 2 5 0.000664649070891545 0.000714061606508588
A00265 POS_3D7-K1-HB3-FCB1_1-1-10-10 msp7 msp7-4 412 2 5 0.000769200610132911 0.000736552295488205
A00265 POS_3D7-K1-HB3-FCB1_1-1-10-10 msp7 msp7-9 3015 2 5 0.00562898019308429 0.00457686440387003
